# Marker IDs can be arbitrary strings.	
# Marker ID,	Time (in s)
2,	27.695
2,	28.885
1,	29.8822
2,	30.8462
1,	31.7438
2,	32.6356
2,	33.6496
2,	34.6086
1,	35.543
2,	36.4934
1,	37.5172
2,	38.3734
2,	39.2704
2,	40.1232
1,	41.0098
2,	41.9508
2,	42.8032
2,	43.6688
2,	44.566
2,	45.438
2,	46.364
2,	47.1452
2,	48.0346
1,	48.8808
2,	49.7432
2,	50.5944
1,	51.3358
2,	52.2622
2,	53.104
1,	53.9812
2,	54.7902
2,	55.5878
2,	56.4492
2,	57.2368
2,	58.062
1,	58.8886
1,	59.712
1,	60.501
2,	61.2912
1,	62.0404
2,	62.8582
2,	63.6458
2,	64.4406
2,	65.2252
1,	65.9786
1,	66.8214
2,	67.6044
2,	68.3316
1,	69.137
1,	69.8898
2,	70.6652
1,	71.4188
2,	72.1604
2,	72.9644
2,	73.7164
2,	74.535
1,	75.339
2,	76.0992
1,	76.9688
2,	77.7366
1,	78.5418
1,	79.339
2,	80.1314
2,	80.9022
2,	81.7176
2,	82.4714
1,	83.2642
2,	84.01
2,	84.8772
2,	85.6926
2,	86.4828
1,	87.2632
1,	88.0468
1,	88.866
1,	89.7228
1,	91.081
2,	91.9214
2,	92.8456
1,	93.6206
1,	94.5046
2,	95.2618
2,	96.0788
1,	96.9262
1,	97.711
1,	98.4672
2,	99.3002
1,	100.1328
1,	100.9108
2,	101.7106
1,	102.4604
2,	103.276
1,	104.1122
2,	104.9084
1,	105.7328
2,	106.5456
2,	107.3058
2,	108.0638
2,	108.808
2,	109.5604
2,	110.3812
1,	111.159
1,	111.9026
1,	112.7222
2,	113.525
2,	114.2774
2,	115.1736
2,	115.9708
2,	116.7604
1,	117.5474
1,	118.3406
2,	119.1534
2,	119.9166
2,	120.6616
1,	121.4534
2,	122.2434
2,	123.0276
2,	123.8234
2,	124.5786
2,	125.3038
1,	126.0512
1,	126.9024
2,	127.6946
2,	128.4804
2,	129.231
2,	130.04
1,	130.8466
2,	131.5668
1,	132.3402
2,	133.184
1,	133.984
2,	134.7902
1,	135.4554
2,	136.26
2,	137.0302
1,	137.854
2,	138.6512
2,	139.4192
1,	140.1538
2,	140.908
1,	141.7226
1,	142.446
2,	143.2394
2,	144.004
2,	144.7808
2,	145.5342
1,	146.274
2,	147.0294
1,	147.7742
1,	148.5292
1,	149.3238
2,	150.1022
2,	150.9212
2,	151.6968
1,	152.4548
2,	153.1982
1,	153.9736
1,	154.7356
1,	155.5276
2,	156.2516
2,	157.0446
1,	157.7736
1,	158.563
2,	159.359
2,	160.1556
2,	160.9262
1,	161.7626
2,	162.6146
1,	163.3606
2,	164.0984
2,	164.7836
2,	165.6248
2,	166.3672
2,	167.1664
2,	167.9206
2,	168.6762
1,	169.4414
2,	170.1896
1,	170.9204
1,	171.7224
2,	172.4442
1,	173.204
2,	173.983
2,	174.7204
1,	175.7002
2,	176.346
1,	177.133
2,	177.8952
1,	178.677
2,	179.4726
2,	180.21
1,	181.007
