# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	4.8532
1,	6.8544
1,	8.8554
1,	10.8558
2,	12.8568
1,	14.8580
1,	16.8590
1,	18.8598
1,	20.8608
1,	22.8618
1,	24.8626
1,	26.8632
2,	28.8638
1,	30.8652
1,	32.8654
1,	34.8666
1,	36.8672
1,	38.8682
1,	40.8690
1,	42.8698
1,	44.8708
2,	46.8718
1,	48.8730
1,	50.8734
1,	52.8746
1,	54.8754
1,	56.8762
2,	58.8772
1,	60.8780
1,	62.8794
1,	64.8800
1,	66.8804
1,	68.8818
1,	70.8824
1,	72.8836
1,	74.8844
1,	76.8846
1,	78.8860
1,	80.8864
1,	82.8874
1,	84.8886
1,	86.8892
2,	88.8900
1,	90.8914
1,	92.8924
1,	94.8926
2,	96.8942
1,	98.8942
1,	100.8960
1,	102.8968
1,	104.8972
1,	106.8986
2,	108.8988
1,	110.9000
1,	112.9010
1,	114.9014
2,	116.9026
1,	118.9030
1,	120.9040
1,	122.9048
1,	124.9064
1,	126.9068
1,	128.9078
1,	130.9090
1,	132.9096
1,	134.9104
1,	136.9114
1,	138.9120
2,	140.9130
1,	142.9140
1,	144.9148
1,	146.9152
1,	148.9164
1,	150.9170
1,	152.9188
1,	154.9188
1,	156.9200
2,	158.9210
1,	160.9216
1,	162.9228
1,	164.9234
1,	166.9244
1,	168.9256
1,	170.9258
1,	172.9266
1,	174.9276
2,	176.9290
1,	178.9302
1,	180.9308
1,	182.9314
1,	184.9318
1,	186.9330
1,	188.9344
1,	190.9352
1,	192.9356
2,	194.9360
1,	196.9376
1,	198.9384
1,	200.9394
1,	202.9394
1,	204.9410
2,	206.9424
1,	208.9430
1,	210.9430
1,	212.9448
1,	214.9450
1,	216.9454
1,	218.9474
1,	220.9478
1,	222.9488
1,	224.9496
1,	226.9506
1,	228.9518
1,	230.9520
1,	232.9528
1,	234.9540
1,	236.9548
1,	238.9568
1,	240.9566
1,	242.9578
1,	244.9588
1,	246.9598
1,	248.9598
1,	250.9614
1,	252.9620
1,	254.9630
1,	256.9642
1,	258.9642
1,	260.9658
2,	262.9662
1,	264.9670
1,	266.9684
1,	268.9686
1,	270.9702
1,	272.9712
1,	274.9716
1,	276.9722
1,	278.9736
1,	280.9742
1,	282.9752
1,	284.9762
1,	286.9762
1,	288.9774
1,	290.9782
1,	292.9798
1,	294.9806
2,	296.9814
1,	298.9824
1,	300.9826
1,	302.9840
